ID,Name,Author,time spent,logged at
13787,KLMF-97,mt779,1d 1h 30m,2020-02-14T21:02:00.000+0000
13787,KLMF-97,eay9,1h 30m,2020-02-16T16:01:00.000+0000
13786,KLMF-96,eay9,2h 15m,2020-01-18T20:10:00.000+0000
13786,KLMF-96,eay9,45m,2020-01-17T20:12:00.000+0000
13786,KLMF-96,eay9,2h 33m,2020-01-26T19:46:00.000+0000
13786,KLMF-96,eay9,2d,2020-02-16T16:02:00.000+0000
13786,KLMF-96,eay9,2d,2020-03-01T16:01:00.000+0000
13783,KLMF-93,bdj25,1d,2020-01-06T22:36:00.000+0000
13783,KLMF-93,bdj25,2h,2020-01-13T22:38:00.000+0000
13783,KLMF-93,bdj25,1d,2020-01-13T22:46:00.000+0000
13783,KLMF-93,eay9,1h,2020-01-14T20:24:00.000+0000
13780,KLMF-90,mnm54,1d,2020-01-17T17:02:00.000+0000
13780,KLMF-90,zmr5,1d,2020-01-17T21:17:00.000+0000
13779,KLMF-89,eay9,1h,2020-01-17T20:21:00.000+0000
13779,KLMF-89,ddl58,2h,2020-02-03T14:00:00.000+0000
13779,KLMF-89,ddl58,1d,2020-02-04T23:00:00.000+0000
13779,KLMF-89,ddl58,1d,2020-02-08T14:00:00.000+0000
13779,KLMF-89,ddl58,1d,2020-02-10T14:00:00.000+0000
13779,KLMF-89,ddl58,1d,2020-02-11T23:00:00.000+0000
13778,KLMF-88,bz297,1d 1h,2020-01-07T22:19:00.000+0000
13778,KLMF-88,njh84,1d 2h,2020-02-05T14:00:00.000+0000
13777,KLMF-87,zmr5,1d,2020-02-13T02:00:00.000+0000
13776,KLMF-86,zmr5,1d 1h,2020-01-17T01:45:00.000+0000
13774,KLMF-84,mnm54,1d,2020-01-08T22:02:00.000+0000
13774,KLMF-84,mnm54,2h 30m,2020-01-14T17:02:00.000+0000
13774,KLMF-84,mnm54,1d,2020-01-29T01:40:00.000+0000
13774,KLMF-84,mnm54,1h,2020-01-29T01:41:00.000+0000
13774,KLMF-84,mnm54,1h 30m,2020-02-14T01:44:00.000+0000
13774,KLMF-84,mnm54,1h,2020-02-29T20:58:00.000+0000
13774,KLMF-84,mnm54,1d,2020-03-05T23:00:00.000+0000
13774,KLMF-84,mnm54,1h,2020-03-09T15:42:00.000+0000
13774,KLMF-84,mnm54,1h 30m,2020-03-11T00:18:00.000+0000
13773,KLMF-83,mnm54,1d,2020-01-08T22:01:00.000+0000
13773,KLMF-83,csc254,1d 30m,2020-01-08T22:46:00.000+0000
13773,KLMF-83,mnm54,1h 30m,2020-01-09T02:11:00.000+0000
13773,KLMF-83,csc254,30m,2020-01-10T01:38:00.000+0000
13773,KLMF-83,csc254,30m,2020-01-13T21:54:00.000+0000
13773,KLMF-83,csc254,1d,2020-01-31T17:05:00.000+0000
13773,KLMF-83,csc254,45m,2020-02-12T00:45:00.000+0000
13773,KLMF-83,mnm54,1h 30m,2020-02-28T01:44:00.000+0000
13773,KLMF-83,mnm54,1h,2020-02-29T20:56:00.000+0000
