ID,Name,Author,time spent,logged at
11856,MECH2-135,jcw297,1d 30m,2017-01-30T14:07:00.000+0000
11856,MECH2-135,jcw297,30m,2017-02-03T23:34:00.000+0000
11856,MECH2-135,jcw297,15m,2017-02-04T17:26:00.000+0000
11856,MECH2-135,jcw297,2d 1h,2017-02-05T15:40:00.000+0000
11856,MECH2-135,jcw297,1h,2017-02-07T22:29:00.000+0000
11856,MECH2-135,jcw297,1h,2017-02-09T21:33:00.000+0000
11856,MECH2-135,jcw297,2h 30m,2017-02-10T04:38:00.000+0000
11856,MECH2-135,jcw297,2h 30m,2017-02-16T17:00:00.000+0000
11856,MECH2-135,jcw297,2h,2017-02-25T22:47:00.000+0000
11856,MECH2-135,jcw297,1d 30m,2017-02-27T01:14:00.000+0000
11856,MECH2-135,jcw297,1h,2017-03-05T00:53:00.000+0000
11856,MECH2-135,jcw297,1d,2017-03-06T22:19:00.000+0000
11856,MECH2-135,jcw297,1d 2h 45m,2017-03-13T18:40:00.000+0000
11855,MECH2-134,ll543,1h 30m,2017-02-26T23:38:00.000+0000
11854,MECH2-133,svk28,1d 1h,2017-03-01T20:48:00.000+0000
11851,MECH2-130,svk28,1d,2017-01-17T03:44:00.000+0000
11851,MECH2-130,svk28,1d 2h,2017-01-14T03:44:00.000+0000
11850,MECH2-129,svk28,1d 1h,2017-01-24T20:10:00.000+0000
11850,MECH2-129,svk28,1h,2017-03-01T20:49:00.000+0000
11849,MECH2-128,svk28,4d,2017-01-24T20:10:00.000+0000
11848,MECH2-127,svk28,1d 2h,2017-01-10T08:26:00.000+0000
11847,MECH2-126,svk28,1d 1h,2017-01-12T08:17:00.000+0000
11846,MECH2-125,jlf297,2h,2017-01-20T22:50:00.000+0000
11845,MECH2-124,jlf297,1h,2017-01-20T22:51:00.000+0000
11844,MECH2-123,jlf297,1d,2017-01-20T22:50:00.000+0000
11843,MECH2-122,jlf297,30m,2017-01-17T03:16:00.000+0000
11843,MECH2-122,jlf297,2h,2017-01-20T22:50:00.000+0000
11842,MECH2-121,jlf297,1d,2017-01-20T22:49:00.000+0000
11841,MECH2-120,jlf297,1d,2017-01-20T22:49:00.000+0000
11841,MECH2-120,ll543,2h,2017-01-29T03:30:00.000+0000
11841,MECH2-120,jcw297,2h 30m,2017-02-23T02:27:00.000+0000
11841,MECH2-120,jlf297,2h,2017-03-01T20:44:00.000+0000
11840,MECH2-119,jlf297,1d 2h,2017-01-17T03:15:00.000+0000
11840,MECH2-119,ll543,2h,2017-01-29T03:30:00.000+0000
11839,MECH2-118,jcw297,45m,2017-01-26T02:11:00.000+0000
11838,MECH2-117,jcw297,45m,2017-01-26T02:10:00.000+0000
11837,MECH2-116,jcw297,2h 30m,2017-01-21T12:00:00.000+0000
11836,MECH2-115,jcw297,2h,2017-01-20T00:02:00.000+0000
11836,MECH2-115,jcw297,30m,2017-01-21T11:59:00.000+0000
11835,MECH2-114,jcw297,1h 30m,2017-01-26T02:10:00.000+0000
11835,MECH2-114,jcw297,2h 30m,2017-01-27T21:41:00.000+0000
11835,MECH2-114,jcw297,1h 30m,2017-01-29T19:02:00.000+0000
11834,MECH2-113,jcw297,2h 30m,2017-01-21T11:59:00.000+0000
11833,MECH2-112,jcw297,1d,2017-01-18T20:10:00.000+0000
11833,MECH2-112,jcw297,1m,2017-01-20T00:00:00.000+0000
11833,MECH2-112,jcw297,1h 29m,2017-01-20T00:00:00.000+0000
11832,MECH2-111,jcw297,2h 30m,2017-01-29T19:03:00.000+0000
11831,MECH2-110,jcw297,1d,2017-01-10T17:28:00.000+0000
11830,MECH2-109,jcw297,1d,2017-01-19T23:59:00.000+0000
11828,MECH2-107,jcw297,2h,2017-01-16T18:49:00.000+0000
11828,MECH2-107,jcw297,1d,2017-01-18T03:45:00.000+0000
11827,MECH2-106,jcw297,1d 2h,2017-01-18T03:44:00.000+0000
11826,MECH2-105,jcw297,1d,2017-01-12T21:38:00.000+0000
11826,MECH2-105,ll543,1d 1h,2017-01-14T21:47:00.000+0000
11826,MECH2-105,jcw297,1h,2017-01-16T18:49:00.000+0000
11823,MECH2-104,csc254,1d 30m,2016-12-08T14:00:00.000+0000
11823,MECH2-104,csc254,2h 30m,2016-12-09T18:40:00.000+0000
11823,MECH2-104,csc254,1d,2017-04-10T14:48:00.000+0000
11823,MECH2-104,csc254,2h,2017-05-01T14:59:00.000+0000
11822,MECH2-103,zw85,1d 1h,2017-02-05T04:23:00.000+0000
11822,MECH2-103,zw85,2h,2017-03-06T13:32:00.000+0000
11821,MECH2-102,zw85,3d,2017-02-05T04:24:00.000+0000
11821,MECH2-102,zw85,1w 2d,2017-03-20T08:24:00.000+0000
11820,MECH2-101,zw85,1d,2017-01-25T21:25:00.000+0000
11819,MECH2-100,cep89,2h,2017-01-19T04:43:00.000+0000
11819,MECH2-100,cep89,1d,2017-01-19T18:28:00.000+0000
11819,MECH2-100,cep89,1d 30m,2017-01-22T05:20:00.000+0000
11818,MECH2-99,cep89,1h 45m,2017-01-28T17:09:00.000+0000
11817,MECH2-98,cep89,45m,2017-02-02T04:06:00.000+0000
11816,MECH2-97,cep89,45m,2017-02-02T04:06:00.000+0000
11815,MECH2-96,cep89,15m,2017-01-22T05:20:00.000+0000
11815,MECH2-96,cep89,2h,2017-01-28T17:09:00.000+0000
11814,MECH2-95,ll543,2h,2017-01-14T21:45:00.000+0000
11814,MECH2-95,cep89,2h,2017-01-18T19:01:00.000+0000
11813,MECH2-94,jcw297,1d,2017-02-04T17:25:00.000+0000
11813,MECH2-94,cep89,1d,2017-02-10T19:22:00.000+0000
11813,MECH2-94,cep89,2h,2017-02-14T02:06:00.000+0000
11813,MECH2-94,cep89,1d 1h,2017-02-25T22:06:00.000+0000
11813,MECH2-94,cep89,1d,2017-03-05T18:06:00.000+0000
11803,MECH2-92,jlf297,1d 30m,2017-01-09T21:48:00.000+0000
11803,MECH2-92,jlf297,3m,2017-01-12T03:27:00.000+0000
11803,MECH2-92,jlf297,1d,2017-01-12T03:27:00.000+0000
11803,MECH2-92,jlf297,1d 2h 27m,2017-01-15T00:23:00.000+0000
11801,MECH2-90,mvb36,1h 30m,2017-03-03T14:30:00.000+0000
11799,MECH2-88,ll543,1d 1h,2017-01-21T02:24:00.000+0000
11799,MECH2-88,mvb36,1h,2017-01-28T20:30:00.000+0000
11798,MECH2-87,mvb36,1h 30m,2017-03-07T23:00:00.000+0000
11798,MECH2-87,mvb36,2h 30m,2017-03-11T18:00:00.000+0000
11797,MECH2-86,mvb36,1h 30m,2017-03-09T00:30:00.000+0000
11797,MECH2-86,mvb36,10m,2017-03-11T20:30:00.000+0000
11796,MECH2-85,jcw297,2d 2h,2017-02-25T22:48:00.000+0000
