alb433,alb433 logged at,bdj25,bdj25 logged at,csc254,csc254 logged at,zmr5,zmr5 logged at,eay9,eay9 logged at,bz297,bz297 logged at,mb2343,mb2343 logged at,mt779,mt779 logged at,mnm54,mnm54 logged at,jb974,jb974 logged at,cep89,cep89 logged at,bpm74,bpm74 logged at,kan57,kan57 logged at
33.2,2019-03-20T06:14:00.000+0000,,,29.416666666666668,2019-01-16T20:04:00.000+0000,46.5,2019-01-16T22:02:00.000+0000,40.766666666666666,2019-02-20T02:26:00.000+0000,68.0,2019-04-02T20:35:00.000+0000,79.5,2019-02-18T04:41:00.000+0000,43.0,2019-02-21T22:00:00.000+0000,75.0,2019-04-09T23:53:00.000+0000,,,47.050000000000004,2019-02-14T02:28:00.000+0000,,,,
36.2,2019-03-22T02:31:00.000+0000,,,31.416666666666668,2019-01-16T21:55:00.000+0000,53.5,2019-01-18T04:39:00.000+0000,43.766666666666666,2019-03-11T01:45:00.000+0000,71.0,2019-04-03T06:16:00.000+0000,82.5,2019-02-18T04:42:00.000+0000,44.0,2019-02-23T18:00:00.000+0000,77.0,2019-04-13T16:52:00.000+0000,,,47.550000000000004,2019-02-14T02:28:00.000+0000,,,,
37.2,2019-03-27T01:05:00.000+0000,,,33.41666666666667,2019-01-17T02:04:00.000+0000,54.5,2019-01-19T17:03:00.000+0000,44.516666666666666,2019-03-11T01:46:00.000+0000,74.0,2019-04-06T22:18:00.000+0000,88.5,2019-02-18T04:43:00.000+0000,44.5,2019-02-28T23:00:00.000+0000,78.0,2019-04-13T16:52:00.000+0000,,,53.550000000000004,2019-02-14T02:29:00.000+0000,,,,
39.2,2019-03-27T01:06:00.000+0000,,,33.91666666666667,2019-01-17T16:36:00.000+0000,55.5,2019-01-19T17:04:00.000+0000,50.516666666666666,2019-03-11T01:49:00.000+0000,77.0,2019-04-12T02:19:00.000+0000,88.75,2019-02-27T13:35:00.000+0000,45.0,2019-03-02T18:00:00.000+0000,78.5,2019-04-17T18:58:00.000+0000,,,58.550000000000004,2019-02-20T22:41:00.000+0000,,,,
41.2,2019-04-10T00:02:00.000+0000,,,34.91666666666667,2019-01-17T16:37:00.000+0000,57.5,2019-01-19T17:04:00.000+0000,53.516666666666666,2019-03-11T01:50:00.000+0000,80.0,2019-04-12T17:58:00.000+0000,91.75,2019-02-27T13:35:00.000+0000,48.0,2019-03-14T22:00:00.000+0000,,,,,61.550000000000004,2019-02-21T20:57:00.000+0000,,,,
41.95,2019-04-12T01:00:00.000+0000,,,35.41666666666667,2019-01-17T20:34:00.000+0000,58.0,2019-01-24T21:51:00.000+0000,54.266666666666666,2019-03-16T16:10:00.000+0000,,,94.75,2019-03-19T20:55:00.000+0000,51.0,2019-03-19T22:00:00.000+0000,,,,,62.050000000000004,2019-02-22T19:04:00.000+0000,,,,
42.95,2019-04-12T01:00:00.000+0000,,,36.41666666666667,2019-01-17T21:24:00.000+0000,59.0,2019-01-28T17:05:00.000+0000,55.016666666666666,2019-03-23T03:29:00.000+0000,,,96.75,2019-03-22T01:52:00.000+0000,54.0,2019-03-21T22:00:00.000+0000,,,,,62.550000000000004,2019-02-23T22:15:00.000+0000,,,,
43.95,2019-04-13T17:47:00.000+0000,,,36.91666666666667,2019-01-17T22:02:00.000+0000,59.5,2019-01-31T06:56:00.000+0000,55.266666666666666,2019-03-23T04:52:00.000+0000,,,99.75,2019-03-22T01:53:00.000+0000,55.0,2019-03-22T13:00:00.000+0000,,,,,65.55000000000001,2019-02-26T03:50:00.000+0000,,,,
44.45,2019-04-13T21:08:00.000+0000,,,37.91666666666667,2019-01-18T15:00:00.000+0000,63.5,2019-02-09T17:02:00.000+0000,56.266666666666666,2019-03-23T04:53:00.000+0000,,,100.75,2019-03-22T04:16:00.000+0000,59.0,2019-03-23T12:00:00.000+0000,,,,,68.55000000000001,2019-02-27T03:50:00.000+0000,,,,
46.45,2019-04-13T21:12:00.000+0000,,,39.91666666666667,2019-01-18T17:06:00.000+0000,65.5,2019-02-13T02:01:00.000+0000,57.266666666666666,2019-03-23T04:54:00.000+0000,,,101.75,2019-03-23T16:14:00.000+0000,62.0,2019-03-28T22:00:00.000+0000,,,,,71.55000000000001,2019-02-28T03:50:00.000+0000,,,,
